"","uhash","nr","task_id","learner_id","resampling_id","iteration","errors","brier_improper","brier_improper_erv","brier_proper","brier_proper_erv","caliba_diff","caliba_ratio","dcalib","harrell_c","intlogloss","intlogloss_erv","logloss","rcll","uno_c","tuned","learner_group"
"1","d38bddf8-548e-4f9e-afba-ad82df4db036",1,"aids.id","KM","cv",1,"",0.163528690061136,0,0.120156610561095,0,0.0224168262900882,0.977583173709912,1.58013582761579,0.5,0.339302582152518,0,26.9056709488095,11.1905737716925,0.5,"rcll","Baseline"
"2","d38bddf8-548e-4f9e-afba-ad82df4db036",1,"aids.id","KM","cv",2,"",0.185875118081605,0,0.13022627266012,0,0.0247256483996545,1.02472564839965,10.624796253713,0.5,0.348264242546539,0,27.0031604655334,11.2238761330031,0.5,"rcll","Baseline"
"3","d38bddf8-548e-4f9e-afba-ad82df4db036",1,"aids.id","KM","cv",3,"",0.185497788651358,0,0.143065741604275,0,0.00404986483952596,1.00404986483953,4.16024336570207,0.5,0.402797181445141,0,29.2650684959332,12.1384715126986,0.5,"rcll","Baseline"
"4","d38bddf8-548e-4f9e-afba-ad82df4db036",1,"aids.id","KM","cv",4,"",0.144109192017435,0,0.111263685179105,0,0.00712376514878632,1.00712376514879,5.33000374331166,0.5,0.308325143717733,0,26.7353329438444,10.9378666744881,0.5,"rcll","Baseline"
"5","d38bddf8-548e-4f9e-afba-ad82df4db036",1,"aids.id","KM","cv",5,"",0.19820246484803,0,0.147365926920258,0,0.0178921908042372,0.982107809195763,3.1880963199471,0.5,0.419865909376244,0,24.4481370663413,10.1536581772748,0.5,"rcll","Baseline"
"6","8e8d7f0b-76be-41d1-9bae-3c4511cc448b",2,"aids.id","NA","cv",1,"",0.163550784116539,-0.000135108129311723,0.120380032254634,-0.00185942073845391,0.0197939463951856,0.980206053604814,1.60714024284062,0.5,0.339780209708559,-0.00140767439201683,26.9061851809155,11.1899244120811,0.5,"rcll","Baseline"
"7","8e8d7f0b-76be-41d1-9bae-3c4511cc448b",2,"aids.id","NA","cv",2,"",0.185878303456121,-1.71371754849048e-05,0.130513698168013,-0.00220712381627264,0.0278100748642562,1.02781007486426,10.5899104262562,0.5,0.34889594754805,-0.0018138669559995,27.0034848365888,11.2230030124719,0.5,"rcll","Baseline"
"8","8e8d7f0b-76be-41d1-9bae-3c4511cc448b",2,"aids.id","NA","cv",3,"",0.185531567444947,-0.000182098093109984,0.143309419149899,-0.00170325574027475,0.00701976003452942,1.00701976003453,4.16833537416327,0.5,0.403334420264625,-0.00133377005657498,29.2653088924105,12.1376145538537,0.5,"rcll","Baseline"
"9","8e8d7f0b-76be-41d1-9bae-3c4511cc448b",2,"aids.id","NA","cv",4,"",0.144213525632755,-0.000723990009657838,0.11149746104482,-0.00210109763431965,0.00969122855663773,1.00969122855664,5.34917423154355,0.5,0.308828970837847,-0.00163407730566156,26.735785789322,10.9372646182137,0.5,"rcll","Baseline"
"10","8e8d7f0b-76be-41d1-9bae-3c4511cc448b",2,"aids.id","NA","cv",5,"",0.198185848058502,8.38374514718909e-05,0.147602742896824,-0.00160699275277132,0.0150141939724232,0.984985806027577,3.18493344717312,0.5,0.42039423841316,-0.00125832801644088,24.4486500807323,10.1528809002592,0.5,"rcll","Baseline"
"11","6335652f-5d8f-4025-8eeb-cb593db5a87b",3,"aids.id","CPH","cv",1,"",0.165055825243366,-0.00933863765226062,0.118143940127907,0.0167503928730116,0.161258460258753,0.838741539741247,3.55562282070207,0.634531795978546,0.364145744365264,-0.0732183116766829,26.8413656685355,11.1813006313775,0.689121007919312,"rcll","Classical"
"12","6335652f-5d8f-4025-8eeb-cb593db5a87b",3,"aids.id","CPH","cv",2,"",0.127548581733274,0.313794212750537,0.0961933698665551,0.261336688045952,0.175830707767424,1.17583070776742,10.2322942171627,0.796416938304901,0.273055548500978,0.215952960015728,26.9296779197112,11.1055422359897,0.79755562543869,"rcll","Classical"
"13","6335652f-5d8f-4025-8eeb-cb593db5a87b",3,"aids.id","CPH","cv",3,"",0.175716506857053,0.0527299105041558,0.134993997387811,0.0564198257804515,0.00568092046485802,0.994319079535142,2.80109072063528,0.671595335006714,0.399153609087715,0.00904567490853192,29.2271784925276,12.0898414406915,0.699351847171783,"rcll","Classical"
"14","6335652f-5d8f-4025-8eeb-cb593db5a87b",3,"aids.id","CPH","cv",4,"",0.116929921157105,0.188601923859523,0.0772511308304631,0.305693221412635,0.140011050022044,0.859988949977956,5.45899874616369,0.758984386920929,0.233900430452251,0.241383859804882,26.7312128255145,10.928430489924,0.741720974445343,"rcll","Classical"
"15","6335652f-5d8f-4025-8eeb-cb593db5a87b",3,"aids.id","CPH","cv",5,"",0.166430180699649,0.160302164621119,0.142964150427209,0.0298697031602926,0.173959647250087,1.17395964725009,8.94247615287845,0.702851295471191,0.420032445105281,-0.000396640273284232,24.4430855814595,10.063437621487,0.74043744802475,"rcll","Classical"
"16","db99f85a-4bdd-4b8d-831f-b0989cf2a210",4,"aids.id","CoxB","cv",1,"",0.161978942816633,0.00947691346346813,0.115092556458118,0.0421454473401746,0.147541759073779,0.852458240926221,7.3291518549095,0.638087689876556,0.352281533068204,-0.0382518483453584,26.8407246298379,11.1776092566609,0.69158810377121,"rcll","Boosting"
"17","db99f85a-4bdd-4b8d-831f-b0989cf2a210",4,"aids.id","CoxB","cv",2,"",0.131146593237363,0.294437068334314,0.0977681384426591,0.249244131421729,0.151162415968413,1.15116241596841,11.2219371508584,0.783025681972504,0.276501340138273,0.206058772739713,26.9351633070574,11.116896873394,0.784357130527496,"rcll","Boosting"
