"","task_id","learner_id","harrell_c","uno_c","rcll","rcll_erv","logloss","logloss_erv","intlogloss","intlogloss_erv","brier_proper","brier_proper_erv","brier_improper","brier_improper_erv","dcalib","caliba_ratio","caliba_diff","tuned","learner_group"
"1","aids.id","KM",0.5,0.5,11.1288892538314,0,26.8714739840924,0,0.363711011847635,0,0.130415647384971,0,0.175442650731913,0,4.97665510205793,0.999118052258728,0.0152416590964584,"harrell_c","Baseline"
"2","aids.id","NA",0.5,0.5,11.1281374993759,6.76024069032444e-05,26.8718829559938,-1.54522132920221e-05,0.364246757354448,-0.00148954334533875,0.130660670702838,-0.00189557813641845,0.175472005741773,-0.000194899191218512,4.97989874439534,1.00194258461756,0.0158658407646064,"harrell_c","Baseline"
"3","aids.id","AK",0.537817335128784,0.515703892707825,12.6109942854877,-0.136151374604301,30.8353268820718,-0.150574129935514,0.449860244145786,-0.239633995682441,0.164100212966333,-0.260609712670331,0.187504244548335,-0.0713827819088683,9.70754275001354,1.53438516880132,0.534385168801316,"harrell_c","Baseline"
"4","aids.id","CPH",0.712875950336456,0.733637380599976,11.0737104838939,0.00502524277311704,26.8345040975497,0.0013533460084449,0.338057555502298,0.0785535085558351,0.113909317727989,0.134013966254469,0.15033620313809,0.141217914816615,6.19809653150844,1.00856798485437,0.131348157152633,"harrell_c","Classical"
"5","aids.id","GLMN",0.717621648311615,0.738954901695251,11.0945486308118,0.0031313415704348,26.8364597679065,0.00130968057416849,0.334702441372383,0.0835691323037938,0.117068407224272,0.106482591447759,0.156148256660026,0.109674814562794,6.90865959284837,1.00379056208971,0.0558078445851599,"harrell_c","Classical"
"6","aids.id","Pen",0.707524287700653,0.727085268497467,11.0724477473179,0.00513180477163582,26.823375188152,0.00174508779907647,0.335888807086706,0.0842532408537301,0.113589966770516,0.136052663443306,0.151221838033589,0.136735999600593,8.39605949883853,1.00547242499677,0.116481930747144,"harrell_c","Classical"
"7","aids.id","AFT",0.710844540596008,0.732008922100067,2.33526361189813,0.789392737352815,5.0166551211062,0.812547157053876,0.341960566462057,0.0678446694578448,0.114652575122608,0.127538053483531,0.151614787814559,0.132923269824934,7.47142241118053,1.00452175351481,0.129766848835556,"harrell_c","Classical"
"8","aids.id","Flex",0.712205123901367,0.732921242713928,9.86103606481417,0.112745376844713,23.7847001480576,0.113763567737204,0.337232950755878,0.0808186465263917,0.113407489725025,0.137759518862384,0.150153311610719,0.142064589636318,5.91122146844811,1.00997089566875,0.13320484067118,"harrell_c","Classical"
"9","aids.id","RFSRC",0.706062984466553,0.723221123218536,11.8630964069198,-0.0654631559518891,28.7864710024154,-0.0706340106970818,0.343050173949365,0.0631448911188746,0.117160254163787,0.108300156504844,0.152508712112253,0.130535648863814,8.09418139117723,1.00717045648805,0.108769060105068,"harrell_c","Trees"
"10","aids.id","RAN",0.707008099555969,0.723566138744354,11.2829999065341,-0.0143992876026874,27.328579672339,-0.0177093950582817,0.3393362662361,0.0738934190392229,0.115644357306826,0.119431076016391,0.15253763249075,0.128983495251759,7.25461855933232,0.991247476293082,0.103470170419744,"harrell_c","Trees"
"11","aids.id","CIF",0.706514322757721,0.727061009407043,11.6961881809373,-0.0501570749273122,28.3816983206074,-0.0553889653132121,0.344997018345269,0.060871307628822,0.11692079163053,0.111339815725528,0.150848728206084,0.138939898151875,7.22294065621268,1.01364572757888,0.103018685566617,"harrell_c","Trees"
"12","aids.id","ORSF",0.710590744018555,0.722448658943176,11.191309920045,-0.00590825819591796,27.1221020813506,-0.00970045076146966,0.341206816776113,0.0687465196648977,0.117439864010079,0.105730177377858,0.151314599593849,0.136487853967808,7.29373215662519,1.02044721025997,0.090180706701465,"harrell_c","Trees"
"13","aids.id","RRT",0.67694149017334,0.691525650024414,11.9456453781953,-0.0731489831863175,26.790840012137,0.00304063450014966,0.346137711243902,0.0671025685312211,0.10655573398171,0.195214717429342,0.247293534616158,-0.420454600076209,877.765377647512,0.241876634218062,0.758123365781938,"harrell_c","Trees"
"14","aids.id","MBST",0.704450285434723,0.722381448745728,11.1116547115512,0.00157470551727144,26.8448099111856,0.000990241399488734,0.350227587976347,0.0373157783108897,0.123439852666458,0.0538614330945915,0.16471565485804,0.058275482911159,6.99191821684612,0.986733465944837,0.0631718570038459,"harrell_c","Boosting"
"15","aids.id","CoxB",0.710905241966248,0.731461799144745,11.0752120213327,0.00489205440208842,26.8338385817817,0.00138272458901696,0.335565728649811,0.0854204665972875,0.113466535679179,0.137568353390999,0.150229457444517,0.142215004441366,7.32989765201701,1.00485611448609,0.120973646385868,"harrell_c","Boosting"
"16","aids.id","XGBCox",0.700856471061707,0.706914126873016,11.0968826985902,0.00288002981189543,26.8589972188853,0.000370663359395906,0.3528919919395,0.04015329189272,0.117870926879123,0.101890550406273,0.158985367180316,0.0926018781363118,9.7153448635438,0.971864948049066,0.0830177675391523,"harrell_c","Boosting"
"17","aids.id","XGBAFT",0.693005275726318,0.708978319168091,14.195741888365,-0.279094444389204,34.2119206032684,-0.2767627498548,0.350956363927295,0.0353012353412392,0.126067803300545,0.0330834624770388,0.246923199700066,-0.416401820182892,172.862383760505,0.574481117687027,0.425518882312973,"harrell_c","Boosting"
"18","aids2","KM",0.5,0.5,8.73333338717743,0,13.5524183199992,0,0.354923464503916,0,0.108463303426318,0,0.138603913555489,0,8.76945215077175,0.999444787940794,0.0244289421824126,"harrell_c","Baseline"
